song,artist,price,downloads,total_amount,month,year,company
Minga Wura,Jack P,700,8,5600,November,2021,MTN
Situka,Bobi Wine,700,8,5600,November,2021,MTN
Nkwagala,Mozey Radio,700,8,5600,November,2021,MTN
Akomelerwe,Pallaso,700,8,5600,November,2021,MTN
Tuliyambala Engule,Bobi Wine ft All Stars,700,8,5600,November,2021,MTN
Teziwera,King Saha,700,8,5600,November,2021,MTN
Muhumure,Ampumuza Nuhu,700,8,5600,November,2021,MTN
Waguleka Wano,King Lion,700,8,5600,November,2021,MTN
Trumpet,Shammy K ft Daddy Andre,700,8,5600,November,2021,MTN
Sikuleka,Allan Toniks,700,8,5600,November,2021,MTN
Anthem,OBB,700,8,5600,November,2021,MTN
Wendi,Bobi Wine,700,8,5600,November,2021,MTN
Golola Ekkubo,King Saha,700,7,4900,November,2021,MTN
Hana rmx,Pallaso ft Jose Chameleone,700,7,4900,November,2021,MTN
Mutima Gwange Guma,Jonah Muwanguzi,700,7,4900,November,2021,MTN
Bwolida,Fille,700,7,4900,November,2021,MTN
Eliiso,Betina Namukasa,700,7,4900,November,2021,MTN
Twatoba,Pallaso Ft Davido,700,7,4900,November,2021,MTN
Anayinama,Nina Roz,700,6,4200,November,2021,MTN
Amaaso Eyes,Radio and Weasel Ft Pallaso and The Mess,700,6,4200,November,2021,MTN
Aminati,Ykee Benda,700,6,4200,November,2021,MTN
NALWEWUBA,FRED SSEBATTA,700,6,4200,November,2021,MTN
Kikomando rmx,Victor Ruz ft Martha Mukisa,700,6,4200,November,2021,MTN
Olumya Bano,Nina Roz,700,6,4200,November,2021,MTN
Embogo Extra,Eng Jovan,700,6,4200,November,2021,MTN
Beeping,Kazibwe Kapo,700,6,4200,November,2021,MTN
Have a Little Talk,Jessica Nanusoke Golden Gate Choir,700,6,4200,November,2021,MTN
Ruhanga Nuwe Amanyire,Rayz Pro,700,6,4200,November,2021,MTN
Nkulembela,Phiona Muheirwe,700,6,4200,November,2021,MTN
Mr Money,Bobi Wine,700,6,4200,November,2021,MTN
Wantama,Sheebah,700,6,4200,November,2021,MTN
Madowadowa,Mary Bata,700,6,4200,November,2021,MTN
Kako,Victor Ruz ft Fille,700,6,4200,November,2021,MTN
Ontuuka,Carol Nantongo and Hilderman,700,6,4200,November,2021,MTN
Kabaseke,Bobie Wine,700,6,4200,November,2021,MTN
So Lucky,Sasha Brighton,700,6,4200,November,2021,MTN
Mpeke,Pallaso & Ziza Bafana,700,6,4200,November,2021,MTN
Enkuumbi eyamba,Fred ssebatta,700,5,3500,November,2021,MTN
Soulmate,Geosteady,700,5,3500,November,2021,MTN
Freedom,Bobi Wine,700,5,3500,November,2021,MTN
Wave Media,Brand Xclusive,700,5,3500,November,2021,MTN
Ebaluwa Toto,Canis Odd,700,5,3500,November,2021,MTN
Lu Asurup,Canis Odd,700,5,3500,November,2021,MTN
Ekifuba,Dre Cali,700,5,3500,November,2021,MTN
DARLING,Mary Bata,700,5,3500,November,2021,MTN
Kwata Omukono Gwange,Judith Babirye,700,5,3500,November,2021,MTN
Weng Raac,Smokie ft Lumix,700,5,3500,November,2021,MTN
Oli Wakabi,Aziz Azion ft Remah,700,5,3500,November,2021,MTN
Poyo Pira Lucky,Ambrose Liberty,700,5,3500,November,2021,MTN
Muwe,Sheebah,700,5,3500,November,2021,MTN
Omuliro,Nina Roz,700,5,3500,November,2021,MTN
Magnetic,Radio and Weasel,700,5,3500,November,2021,MTN
Gwe Musumba Wange,Harriet Kisakye,700,5,3500,November,2021,MTN
Saba,Julie Mutesasira,700,5,3500,November,2021,MTN
Nasalawo,Ronald Mayinja,700,5,3500,November,2021,MTN
Dont Cry,Radio and Weasel ft Wizkid,700,5,3500,November,2021,MTN
Kwata Omukono,babirye judith,700,5,3500,November,2021,MTN
Nkwatako,Sheebah,700,5,3500,November,2021,MTN
Mukyakale,Pallaso ft Full Figure,700,5,3500,November,2021,MTN
Islam Prayers,Islam,700,5,3500,November,2021,MTN
Jenifer,SEMK Dee,700,5,3500,November,2021,MTN
Always there or Abeera,Isiah katumwa,700,5,3500,November,2021,MTN
Ekyokuwa Kimbuze,Ronald Mayinja,700,5,3500,November,2021,MTN
Ba Muguma,Witty Witty,700,5,3500,November,2021,MTN
Omusawo,Pallaso,700,4,2800,November,2021,MTN
For Better For Worse,HE Bobi Wine Ft Nubian Li,700,4,2800,November,2021,MTN
Kingambe,Frona,700,4,2800,November,2021,MTN
Addiction,Gabby Mirembe,700,4,2800,November,2021,MTN
